,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,model,consumption
53,1,gas,std,4,sedan,fwd,front,236.474,423.672,163.068,137.41400000000002,882.23644,ohc,4,1.5,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda,rx-4,6.8
54,1,gas,std,4,sedan,fwd,front,236.474,423.672,163.068,137.41400000000002,884.5044,ohc,4,1.5,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,mazda,glc deluxe,6.8
55,3,gas,std,2,hatchback,rwd,front,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1079.54896,rotor,2,1.1,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,mazda,626,11.8
56,3,gas,std,2,hatchback,rwd,front,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1079.54896,rotor,2,1.1,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,mazda,glc,11.8
57,3,gas,std,2,hatchback,rwd,front,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1081.81692,rotor,2,1.1,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,mazda,rx-7 gs,11.8
58,3,gas,std,2,hatchback,rwd,front,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1133.98,rotor,2,1.3,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0,mazda,glc 4,12.1
59,1,gas,std,2,hatchback,fwd,front,250.952,451.612,168.91,136.398,1081.81692,ohc,4,2.0,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,mazda,626,8.1
60,0,gas,std,4,sedan,fwd,front,250.952,451.612,168.91,140.97,1093.15672,ohc,4,2.0,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,mazda,glc custom l,8.1
61,1,gas,std,2,hatchback,fwd,front,250.952,451.612,168.91,136.398,1081.81692,ohc,4,2.0,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,mazda,glc custom,8.1
62,0,gas,std,4,sedan,fwd,front,250.952,451.612,168.91,140.97,1093.15672,ohc,4,2.0,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,mazda,rx-4,8.1
63,0,diesel,std,4,sedan,fwd,front,250.952,451.612,168.91,140.97,1108.125256,ohc,4,2.0,idi,3.39,3.39,22.7,64,4650,36,42,10795.0,mazda,glc deluxe,6.0
64,0,gas,std,4,hatchback,fwd,front,250.952,451.612,168.91,140.97,1099.9605999999999,ohc,4,2.0,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,mazda,626,8.1
65,0,gas,std,4,sedan,rwd,front,266.446,444.5,167.89399999999998,138.176,1211.09064,ohc,4,2.3,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,mazda,glc,10.2
66,0,diesel,std,4,sedan,rwd,front,266.446,444.5,167.89399999999998,138.176,1224.6984,ohc,4,2.2,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,mazda,rx-7 gs,6.7
67,-1,diesel,turbo,4,sedan,rwd,front,279.4,484.886,178.56199999999998,143.51,1594.37588,ohc,5,3.0,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,buick,electra 225 custom,10.0
68,-1,diesel,turbo,4,wagon,rwd,front,279.4,484.886,178.56199999999998,149.098,1700.97,ohc,5,3.0,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,buick,century luxus (sw),10.0
69,0,diesel,turbo,2,hardtop,rwd,front,271.01800000000003,476.25,178.56199999999998,139.446,1585.30404,ohc,5,3.0,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,buick,century,10.0
70,-1,diesel,turbo,4,sedan,rwd,front,293.62399999999997,514.604,182.11800000000002,143.00199999999998,1710.04184,ohc,5,3.0,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,buick,skyhawk,10.0
71,-1,gas,std,4,sedan,rwd,front,293.62399999999997,514.604,182.11800000000002,143.51,1696.43408,ohcv,8,3.8,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0,buick,opel isuzu deluxe,13.8
72,3,gas,std,2,convertible,rwd,front,245.36399999999998,457.96200000000005,179.07,129.03199999999998,1671.48652,ohcv,8,3.8,mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0,buick,skylark,13.8
73,0,gas,std,4,sedan,rwd,front,307.086,528.574,182.11800000000002,144.018,1769.0088,ohcv,8,5.0,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0,buick,century special,15.7
74,1,gas,std,2,hardtop,rwd,front,284.48,505.96799999999996,182.88,140.716,1685.09428,ohcv,8,5.0,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0,buick,regal sport coupe (turbo),15.7
75,1,gas,turbo,2,hatchback,rwd,front,260.858,453.136,172.72,139.192,1319.95272,ohc,4,2.3,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0,mercury,cougar,10.9
76,2,gas,std,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,163.57600000000002,129.03199999999998,869.989456,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi,mirage,6.0
77,2,gas,std,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,163.57600000000002,129.03199999999998,881.782848,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi,lancer,6.8
78,2,gas,std,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,163.57600000000002,129.03199999999998,908.998368,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi,outlander,6.8
79,1,gas,turbo,2,hatchback,fwd,front,236.22,399.54200000000003,162.052,129.03199999999998,972.95484,ohc,4,1.6,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,mitsubishi,g4,8.7
80,3,gas,turbo,2,hatchback,fwd,front,244.602,439.42,166.116,125.476,1075.01304,ohc,4,1.8,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,mitsubishi,mirage g4,8.9
81,3,gas,std,2,hatchback,fwd,front,244.602,439.42,166.116,125.476,1055.962176,ohc,4,2.0,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,mitsubishi,g4,8.3
82,3,gas,turbo,2,hatchback,fwd,front,243.586,439.928,168.402,127.50800000000001,1285.026136,ohc,4,2.6,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,mitsubishi,outlander,10.9
83,3,gas,turbo,2,hatchback,fwd,front,243.586,439.928,168.402,127.50800000000001,1324.9422319999999,ohc,4,2.6,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,mitsubishi,g4,10.9
84,3,gas,turbo,2,hatchback,fwd,front,243.586,439.928,168.402,127.50800000000001,1327.210192,ohc,4,2.6,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,mitsubishi,mirage g4,10.9
85,1,gas,std,4,sedan,fwd,front,244.602,437.896,166.116,131.064,1072.74508,ohc,4,2.0,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi,montero,8.3
86,1,gas,std,4,sedan,fwd,front,244.602,437.896,166.116,131.064,1090.88876,ohc,4,2.0,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,mitsubishi,pajero,8.3
87,1,gas,turbo,4,sedan,fwd,front,244.602,437.896,166.116,131.064,1089.981576,ohc,4,1.8,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,outlander,8.9
88,-1,gas,std,4,sedan,fwd,front,244.602,437.896,166.116,131.064,1089.981576,ohc,4,1.8,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,mirage g4,8.9
89,1,gas,std,2,sedan,fwd,front,240.03,419.862,162.052,138.43,856.835288,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,nissan,versa,6.9
90,1,diesel,std,2,sedan,fwd,front,240.03,419.862,162.052,138.43,914.8950639999999,ohc,4,1.7,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,nissan,gt-r,5.0
91,1,gas,std,2,sedan,fwd,front,240.03,419.862,162.052,138.43,869.989456,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,nissan,rogue,6.9
92,1,gas,std,4,sedan,fwd,front,240.03,419.862,162.052,138.43,879.061296,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,nissan,latio,6.9
93,1,gas,std,4,wagon,fwd,front,240.03,432.308,162.052,135.89000000000001,918.070208,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,nissan,titan,6.9
94,1,gas,std,2,sedan,fwd,front,240.03,419.862,162.052,138.43,884.957992,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,nissan,leaf,6.9
95,1,gas,std,2,hatchback,fwd,front,240.03,420.62399999999997,162.052,135.382,919.884576,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,nissan,juke,6.9
96,1,gas,std,4,sedan,fwd,front,240.03,419.862,162.052,138.43,894.0298319999999,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,nissan,latio,6.9
97,1,gas,std,4,wagon,fwd,front,240.03,432.308,162.052,135.89000000000001,923.966904,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,nissan,note,6.9
98,2,gas,std,2,hardtop,fwd,front,241.554,412.49600000000004,162.052,135.382,910.812736,ohc,4,1.6,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,nissan,clipper,6.9
99,0,gas,std,4,hatchback,fwd,front,246.888,440.43600000000004,165.608,138.93800000000002,1054.147808,ohc,4,2.0,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,nissan,rogue,7.7
100,0,gas,std,4,sedan,fwd,front,246.888,440.43600000000004,165.608,138.93800000000002,1044.168784,ohc,4,2.0,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,nissan,nv200,7.7
101,0,gas,std,4,sedan,fwd,front,255.01600000000002,461.518,168.91,139.954,1403.86724,ohcv,6,3.0,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,nissan,dayz,12.1
102,0,gas,std,4,wagon,fwd,front,255.01600000000002,468.884,168.91,142.494,1495.039232,ohcv,6,3.0,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,nissan,fuga,12.1
103,0,gas,std,4,sedan,fwd,front,255.01600000000002,468.884,168.91,139.954,1387.99152,ohcv,6,3.0,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,nissan,otti,10.7
104,3,gas,std,2,hatchback,rwd,front,231.902,433.578,172.466,126.23800000000001,1392.981032,ohcv,6,3.0,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,nissan,teana,10.7
105,3,gas,turbo,2,hatchback,rwd,front,231.902,433.578,172.466,126.23800000000001,1423.825288,ohcv,6,3.0,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,nissan,kicks,11.8
106,1,gas,std,2,hatchback,rwd,front,251.96800000000002,453.39,172.466,126.23800000000001,1423.825288,ohcv,6,3.0,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,nissan,clipper,10.7
107,0,gas,std,4,sedan,rwd,front,274.06600000000003,474.21799999999996,173.73600000000002,144.018,1369.84784,l,4,2.0,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,peugeot,504,10.9
108,0,diesel,turbo,4,sedan,rwd,front,274.06600000000003,474.21799999999996,173.73600000000002,144.018,1450.133624,l,4,2.5,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,peugeot,304,7.7
109,0,gas,std,4,wagon,rwd,front,290.068,505.206,173.73600000000002,149.098,1465.10216,l,4,2.0,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,peugeot,504 (sw),10.9
110,0,diesel,turbo,4,wagon,rwd,front,290.068,505.206,173.73600000000002,149.098,1555.82056,l,4,2.5,idi,3.7,3.52,21.0,95,4150,25,25,13860.0,peugeot,504,9.4
111,0,gas,std,4,sedan,rwd,front,274.06600000000003,474.21799999999996,173.73600000000002,144.018,1394.7954,l,4,2.0,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,peugeot,504,10.9
112,0,diesel,turbo,4,sedan,rwd,front,274.06600000000003,474.21799999999996,173.73600000000002,144.018,1475.081184,l,4,2.5,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,peugeot,604sl,7.7
113,0,gas,std,4,wagon,rwd,front,290.068,505.206,173.73600000000002,144.018,1490.04972,l,4,2.0,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,peugeot,504,10.9
114,0,diesel,turbo,4,wagon,rwd,front,290.068,505.206,173.73600000000002,149.098,1580.76812,l,4,2.5,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,peugeot,505s turbo diesel,9.4
115,0,gas,std,4,sedan,rwd,front,274.06600000000003,474.21799999999996,173.73600000000002,144.018,1394.7954,l,4,2.0,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,peugeot,504,10.9
116,0,diesel,turbo,4,sedan,rwd,front,274.06600000000003,474.21799999999996,173.73600000000002,144.018,1475.081184,l,4,2.5,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,peugeot,504,7.7
117,0,gas,turbo,4,sedan,rwd,front,274.32,474.21799999999996,173.482,142.24,1419.74296,l,4,2.2,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,peugeot,604sl,11.2
118,1,gas,std,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,129.03199999999998,869.989456,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth,fury iii,6.0
119,1,gas,turbo,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,129.03199999999998,965.243776,ohc,4,1.6,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,plymouth,cricket,8.7
120,1,gas,std,4,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,128.524,892.215464,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth,fury iii,6.8
121,1,gas,std,4,sedan,fwd,front,237.99800000000002,424.942,162.052,129.03199999999998,902.194488,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth,satellite custom (sw),6.8
122,1,gas,std,4,sedan,fwd,front,237.99800000000002,424.942,162.052,129.03199999999998,993.820072,ohc,4,1.6,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,plymouth,fury gran sedan,6.8
123,-1,gas,std,4,wagon,fwd,front,262.382,443.484,164.08399999999997,151.892,1149.85572,ohc,4,2.0,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,plymouth,valiant,8.7
124,3,gas,turbo,2,hatchback,rwd,front,243.586,439.928,168.402,127.50800000000001,1278.222256,ohc,4,2.6,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,plymouth,duster,10.9
125,3,gas,std,2,hatchback,rwd,front,240.03,429.00600000000003,173.482,127.50800000000001,1260.0785759999999,ohc,4,2.5,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,porsche,macan,10.2
126,3,gas,std,2,hardtop,rwd,rear,227.33,429.00600000000003,165.1,131.064,1250.099552,ohcf,6,3.2,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0,porsche,panamera,11.2
127,3,gas,std,2,hardtop,rwd,rear,227.33,429.00600000000003,165.1,131.064,1250.099552,ohcf,6,3.2,mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0,porsche,cayenne,11.2
128,3,gas,std,2,convertible,rwd,rear,227.33,429.00600000000003,165.1,131.064,1270.0576,ohcf,6,3.2,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0,porsche,boxter,11.2
129,1,gas,std,2,hatchback,rwd,front,249.936,446.27799999999996,183.642,128.27,1526.790672,dohcv,8,3.3,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5,porsche,cayenne,10.5
130,0,gas,std,4,wagon,fwd,front,244.094,461.01,168.91,140.208,1169.813768,ohc,4,2.2,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,renault,12tl,8.7
131,2,gas,std,2,hatchback,fwd,front,244.094,449.07200000000006,169.164,128.27,1115.83632,ohc,4,2.2,mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0,renault,5 gtl,8.7
132,3,gas,std,2,hatchback,fwd,front,251.714,473.964,168.91,142.494,1205.647536,ohc,4,2.0,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,saab,99e,9.6
